"Lodobren","Vznamka","Scrna_lista","Sst_odobritev","Dcrna_lista","Dst_pogodb","Vletnik","Vmpc","Veurotax","Lpolog","Lobrestna_mera","Splacilni_indeks","Szapadlo_neplacano","Sobligo","Ltrajanje_meseci","Sneto_placa","Srazpolozljiv_od_z_malico_in_prevozom","Sstarost","Strajanje_zaposlitve","Sposta","Sdrzavljanstvo","Sdrzavljanstvo_eu","SDtip","SDst_zaposlenih","SDdoba_poslovanja","SDprihodki","SDodstotek_kapitala_v_bilancni_vsoti","SDposlovni_izid","SDblokada_racuna","SDinsolventnost","SDcrna_lista"
"DA","HYUNDAI","NE",0,"NE",423,0,16810,0,10,6.84,NA,NA,19504.8,84,1779,782.8,39,"NEDOLOCEN CAS","SI-3","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","KIA","NE",0,"NE",7543,0,15000,0,30,4.7,NA,NA,10500,84,542.5,417.5,59,"UPOKOJENEC","SI-1","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","OPEL","NE",1,"NE",2041,0,12320,0,15.23,7.59,20.64,0,10443.2,84,514.34,314.85,67,"UPOKOJENEC","SI-2","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","FORD","NE",0,"NE",1433,0,14200,0,45.77,3.49,NA,NA,8688.12,84,728.03,624.6,44,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",132,13,33247103,24.79,1378168,"NE","NE","NE"
"NE","DACIA","NE",0,"NE",492,6,4000,9.18,20,11.34,NA,NA,3200,60,726.95,656.84,72,"UPOKOJENEC","SI-2","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","OPEL","NE",0,"NE",747,6,5434,1.21,69.56,12.08,NA,NA,1870.56,24,498,420.06,63,"UPOKOJENEC","SI-6","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","VOLKSWAGEN","NE",0,"NE",17,4,13800.01,-3.04,20,9.34,NA,NA,14461.92,72,710,368.06,50,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",101.53,25,5602617,67.06,-165727,"NE","NE","NE"
"DA","TOYOTA","NE",0,"NE",11,11,2200,0,20,7.59,1.05,0,1848,12,751.25,645.25,47,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","KIA","NE",0,"NE",7543,0,20266,0,30,4.7,NA,NA,14186,84,849.43,680.55,60,"UPOKOJENEC","SI-6","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","HYUNDAI","NE",0,"NE",100,0,10990,0,10,6.84,0,0,12820.92,84,800.65,398.23,67,"UPOKOJENEC","SI-1","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
